Mod:Item:MetaData, Localized Name
Mekanism:RoadPlasticBlock:0, §8Черный Пластиковый путь
Mekanism:RoadPlasticBlock:1, §cКрасный Пластиковый путь
Mekanism:RoadPlasticBlock:2, §2Зеленый Пластиковый путь
Mekanism:RoadPlasticBlock:3, §6Коричневый Пластиковый путь
Mekanism:RoadPlasticBlock:4, §1Синий Пластиковый путь
Mekanism:RoadPlasticBlock:5, §5Фиолетовый Пластиковый путь
Mekanism:RoadPlasticBlock:6, §3Темно-Голубой Пластиковый путь
Mekanism:RoadPlasticBlock:7, §7Светло-Серый Пластиковый путь
Mekanism:RoadPlasticBlock:8, §8Серый Пластиковый путь
Mekanism:RoadPlasticBlock:9, §dРозовый Пластиковый путь
Mekanism:RoadPlasticBlock:10, §aСветло-Зеленый Пластиковый путь
Mekanism:RoadPlasticBlock:11, §eЖелтый Пластиковый путь
Mekanism:RoadPlasticBlock:12, §9Светло-Голубой Пластиковый путь
Mekanism:RoadPlasticBlock:13, §dПурпурный Пластиковый путь
Mekanism:RoadPlasticBlock:14, §6Оранжевый Пластиковый путь
Mekanism:RoadPlasticBlock:15, §fБелый Пластиковый путь
Mekanism:PlasticFence:0, §8Черный Пластиковый забор
Mekanism:PlasticFence:1, §cКрасный Пластиковый забор
Mekanism:PlasticFence:2, §2Зеленый Пластиковый забор
Mekanism:PlasticFence:3, §6Коричневый Пластиковый забор
Mekanism:PlasticFence:4, §1Синий Пластиковый забор
Mekanism:PlasticFence:5, §5Фиолетовый Пластиковый забор
Mekanism:PlasticFence:6, §3Темно-Голубой Пластиковый забор
Mekanism:PlasticFence:7, §7Светло-Серый Пластиковый забор
Mekanism:PlasticFence:8, §8Серый Пластиковый забор
Mekanism:PlasticFence:9, §dРозовый Пластиковый забор
Mekanism:PlasticFence:10, §aСветло-Зеленый Пластиковый забор
Mekanism:PlasticFence:11, §eЖелтый Пластиковый забор
Mekanism:PlasticFence:12, §9Светло-Голубой Пластиковый забор
Mekanism:PlasticFence:13, §dПурпурный Пластиковый забор
Mekanism:PlasticFence:14, §6Оранжевый Пластиковый забор
Mekanism:PlasticFence:15, §fБелый Пластиковый забор
Mekanism:SaltBlock, Блок соли
MekanismGenerators:Generator:0, Тепловой генератор
MekanismGenerators:Generator:1, Солнечный генератор
MekanismGenerators:Generator:3, Газовый генератор
MekanismGenerators:Generator:4, Биогенератор
MekanismGenerators:Generator:5, Продвинутый солнечный генератор
MekanismGenerators:Generator:6, Wind Generator
MekanismGenerators:Generator:7, Ротор турбины
MekanismGenerators:Generator:8, Вращательный комплекс
MekanismGenerators:Generator:9, Электромагнитная катушка
MekanismGenerators:Generator:10, Обшивка турбины
MekanismGenerators:Generator:11, Порт турбины
MekanismGenerators:Generator:12, Вентиль турбины
MekanismGenerators:Generator:13, Saturating Condenser
MekanismGenerators:Reactor:0, Панель управления реактором
MekanismGenerators:Reactor:1, Каркас реактора
MekanismGenerators:Reactor:3, Порт реактора
MekanismGenerators:Reactor:4, Логический адаптер реактора
MekanismGenerators:ReactorGlass:0, Стекло реактора
MekanismGenerators:ReactorGlass:1, Матрица лазерного фокуса
nhlib:tile.nhlib.blockToolStation, Tool Station
nhtech:tile.nhtech.blockCompressor, Air Compressor
nhtech:tile.nhtech.blockEnderDiamond, Block of Ender Infused Diamond
nhtech:tile.nhtech.blockMachineFrame, Machine Frame
nhtech:tile.nhtech.blockEnderInfuser, Ender Infuser
nhtech:tile.nhtech.blockCrystal, Crystal Block
nhtech:tile.nhtech.blockEnderCrystal, Ender Infused Crystal Block
OpenComputers:accessPoint:0, §cТочка доступа§7
OpenComputers:adapter:0, Адаптер
OpenComputers:assembler:0, Сборщик
OpenComputers:cable:11250603, Кабель
OpenComputers:capacitor:0, Конденсатор энергии
OpenComputers:case1:0, Системный блок (1-ый уровень)
OpenComputers:case3:0, Системный блок (3-ий уровень)
OpenComputers:case2:0, Системный блок (2-ой уровень)
OpenComputers:charger:0, Зарядное устройство
OpenComputers:disassembler:0, Разборщик
OpenComputers:diskDrive:0, Дисковод
OpenComputers:geolyzer:0, Геоанализатор
OpenComputers:hologram1:0, Голографический проектор (1-ый уровень)
OpenComputers:hologram2:0, Голографический проектор (2-ой уровень)
OpenComputers:keyboard:0, Клавиатура
OpenComputers:motionSensor:0, Датчик движения
OpenComputers:powerConverter:0, Преобразователь энергии
OpenComputers:powerDistributor:0, Распределитель энергии
OpenComputers:raid:0, RAID
OpenComputers:redstone:0, Красный контроллер
OpenComputers:relay:0, Ретранслятор
OpenComputers:screen1:0, Монитор (1-ый уровень)
OpenComputers:screen3:0, Монитор (3-ий уровень)
OpenComputers:screen2:0, Монитор (2-ой уровень)
OpenComputers:rack:0, Серверная стойка
OpenComputers:switch:0, §cКоммутатор§7
OpenComputers:caseCreative:0, Системный блок (Творческий)
OpenComputers:microcontroller:0, Микроконтроллер
OpenComputers:robotAfterimage:0, Робот
OpenComputers:robot:0, Robot.name
OpenComputers:print:0, 3D модель
OpenComputers:printer:0, 3D принтер
OpenComputers:chameliumBlock:0, Блок хамелиума
OpenComputers:waypoint:0, Путевая точка
OpenComputers:endstone:0, Камень края
OpenComputers:netSplitter:0, Сетевой переключатель
OpenComputers:transposer:0, Транспозер
OpenComputers:carpetedCapacitor:0, Carpeted Capacitor
PowerUtils:BlockMain:0, Power Converter
ProjectE:interdiction_torch, Факел изгнания
ProjectE:condenser_mk2, Конденсатор энергии MK2
ProjectE:rm_furnace_lit, Печь из красной материи
ProjectE:dm_furnace_lit, Печь из тёмной материи
ProjectE:dm_pedestal, Пьедестал из тёмной материи
ProjectE:nova_catalyst, Катализатор Новы
ProjectE:nova_cataclysm, Катаклизм Новы
ProjectE:alchemical_chest, Алхимический сундук
ProjectE:transmutation_table, Стол трансмутаций
ProjectE:condenser_mk1, Конденсатор энергии
ProjectE:rm_furnace, Печь из красной материи
ProjectE:dm_furnace, Печь из тёмной материи
ProjectE:matter_block:0, Блок из тёмной материи
ProjectE:matter_block:1, Блок из красной материи
ProjectE:fuel_block:0, Блок алхимического угля
ProjectE:fuel_block:1, Блок топлива Мёбиуса
ProjectE:fuel_block:2, Блок эфирного топлива
ProjectE:collector_mk1, Сборщик энергии MK1
ProjectE:collector_mk2, Сборщик энергии MK2
ProjectE:collector_mk3, Сборщик энергии MK3
ProjectE:relay_mk1, Реле из антиматерии MK1
ProjectE:relay_mk2, Реле из антиматерии MK2
ProjectE:relay_mk3, Реле из антиматерии MK3
ThermalDynamics:ThermalDynamics_0:0, Свинцовая флаксовая труба
ThermalDynamics:ThermalDynamics_0:1, Усиленная флаксовая труба
ThermalDynamics:ThermalDynamics_0:2, Красная энергетическая флаксовая труба
ThermalDynamics:ThermalDynamics_0:3, Красная энергетическая флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_0:4, Резонирующая флаксовая труба
ThermalDynamics:ThermalDynamics_0:5, Резонирующая флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_0:6, Криостабилизированная флаксовая труба
ThermalDynamics:ThermalDynamics_0:7, Криостабилизированная флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_16:0, Основная жидкостная труба
ThermalDynamics:ThermalDynamics_16:1, Основная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:2, Усиленная жидкостная труба
ThermalDynamics:ThermalDynamics_16:3, Усиленная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:4, Покрытая флаксом жидкостная труба
ThermalDynamics:ThermalDynamics_16:5, Покрытая флаксом жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:6, Сверхпластичная жидкостная труба
ThermalDynamics:ThermalDynamics_16:7, Сверхпластичная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:0, Предметная труба
ThermalDynamics:ThermalDynamics_32:1, Предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:2, Импульсная предметная труба
ThermalDynamics:ThermalDynamics_32:3, Импульсная предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:4, Искажающаяся предметная труба
ThermalDynamics:ThermalDynamics_32:5, Искажающаяся предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:6, Колеблющаяся предметная труба
ThermalDynamics:ThermalDynamics_32:7, Колеблющаяся предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_48:0, Структурная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_48:1, Светящаяся труба
zettaindustries:smartcardterminalblock, Smart Card Terminal [WIP]
zettaindustries:BlockTelecomunicationConnector,  Telecommunication Connector
additionalpipes:chunkLoader, Teleport Tether
minecraft:record_13, Пластинка
minecraft:record_cat, Пластинка
minecraft:record_blocks, Пластинка
minecraft:record_chirp, Пластинка
minecraft:record_far, Пластинка
minecraft:record_mall, Пластинка
minecraft:record_mellohi, Пластинка
minecraft:record_stal, Пластинка
minecraft:record_strad, Пластинка
minecraft:record_ward, Пластинка
minecraft:record_11, Пластинка
minecraft:record_wait, Пластинка
BuildCraft|Core:wrenchItem, Гаечный ключ
BuildCraft|Core:mapLocation, Карта расположения
BuildCraft|Core:list:0, Список
BuildCraft|Core:list:1, Список
BuildCraft|Core:debugger, Отладчик
BuildCraft|Core:woodenGearItem, Деревянная шестерня
BuildCraft|Core:stoneGearItem, Каменная шестерня
BuildCraft|Core:ironGearItem, Железная шестерня
BuildCraft|Core:goldGearItem, Золотая шестерня
BuildCraft|Core:diamondGearItem, Алмазная шестерня
BuildCraft|Core:paintbrush, Кисточка
BuildCraft|Transport:pipeWaterproof, Уплотнитель для труб
BuildCraft|Transport:item.buildcraftPipe.pipeitemswood:0, Деревянная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsemerald:0, Изумрудная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemscobblestone:0, Булыжниковая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsstone:0, Каменная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsquartz:0, Кварцевая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsiron:0, Железная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsgold:0, Золотая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsdiamond:0, Алмазная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsobsidian:0, Обсидиановая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemslapis:0, Лазуритовая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsdaizuli:0, Алмазуритовая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemssandstone:0, Песчаниковая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsvoid:0, Пустотная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsemzuli:0, Изумуритовая транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsstripes:0, Активная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipeitemsclay:0, Глиняная транспортная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidswood:0, Деревянная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidscobblestone:0, Булыжниковая жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsstone:0, Каменная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsquartz:0, Кварцевая жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsiron:0, Железная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsgold:0, Золотая жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsemerald:0, Изумрудная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsdiamond:0, Алмазная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidssandstone:0, Песчаниковая жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsvoid:0, Пустотная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipefluidsclay:0, Глиняная жидкостная труба
BuildCraft|Transport:item.buildcraftPipe.pipepowerwood:0, Деревянная энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowercobblestone:0, Булыжниковая энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowerstone:0, Каменная энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowerquartz:0, Кварцевая энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepoweriron:0, Железная энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowergold:0, Золотая энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowerdiamond:0, Алмазная энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepoweremerald:0, Изумрудная энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipepowersandstone:0, Песчаниковая энергетическая труба
BuildCraft|Transport:item.buildcraftPipe.pipestructurecobblestone:0, Структурная труба
BuildCraft|Transport:pipeWire:0, Красный провод
BuildCraft|Transport:pipeWire:1, Синий провод
BuildCraft|Transport:pipeWire:2, Зелёный провод
BuildCraft|Transport:pipeWire:3, Жёлтый провод
BuildCraft|Transport:pipeGate, item.pipeGate.name
BuildCraft|Transport:pipePlug, item.pipePlug.name
BuildCraft|Transport:pipeLens:0, Линза (Черный)
BuildCraft|Transport:pipeLens:1, Линза (Красный)
BuildCraft|Transport:pipeLens:2, Линза (Зелёный)
BuildCraft|Transport:pipeLens:3, Линза (Коричневый)
BuildCraft|Transport:pipeLens:4, Линза (Синий)
BuildCraft|Transport:pipeLens:5, Линза (Фиолетовый)
BuildCraft|Transport:pipeLens:6, Линза (Бирюзовый)
BuildCraft|Transport:pipeLens:7, Линза (Светло-серый)
BuildCraft|Transport:pipeLens:8, Линза (Серый)
BuildCraft|Transport:pipeLens:9, Линза (Розовый)
BuildCraft|Transport:pipeLens:10, Линза (Лаймовый)
BuildCraft|Transport:pipeLens:11, Линза (Желтый)
BuildCraft|Transport:pipeLens:12, Линза (Светло-синий)
BuildCraft|Transport:pipeLens:13, Линза (Сиреневый)
BuildCraft|Transport:pipeLens:14, Линза (Оранжевый)
BuildCraft|Transport:pipeLens:15, Линза (Белый)
BuildCraft|Transport:pipeLens:16, Фильтр (Черный)
BuildCraft|Transport:pipeLens:17, Фильтр (Красный)
BuildCraft|Transport:pipeLens:18, Фильтр (Зелёный)
BuildCraft|Transport:pipeLens:19, Фильтр (Коричневый)
BuildCraft|Transport:pipeLens:20, Фильтр (Синий)
BuildCraft|Transport:pipeLens:21, Фильтр (Фиолетовый)
BuildCraft|Transport:pipeLens:22, Фильтр (Бирюзовый)
BuildCraft|Transport:pipeLens:23, Фильтр (Светло-серый)
BuildCraft|Transport:pipeLens:24, Фильтр (Серый)
BuildCraft|Transport:pipeLens:25, Фильтр (Розовый)
BuildCraft|Transport:pipeLens:26, Фильтр (Лаймовый)
BuildCraft|Transport:pipeLens:27, Фильтр (Желтый)
BuildCraft|Transport:pipeLens:28, Фильтр (Светло-синий)
BuildCraft|Transport:pipeLens:29, Фильтр (Сиреневый)
BuildCraft|Transport:pipeLens:30, Фильтр (Оранжевый)
BuildCraft|Transport:pipeLens:31, Фильтр (Белый)
BuildCraft|Transport:pipeLens:32, Линза (Чистый)
BuildCraft|Transport:pipeLens:33, Фильтр (Чистый)
BuildCraft|Transport:pipePowerAdapter, item.pipePowerAdapter.name
BuildCraft|Transport:gateCopier, Копировальщик гейтов
BuildCraft|Silicon:redstoneChipset:0, Микросхема из красного камня
BuildCraft|Silicon:redstoneChipset:1, Железная микросхема
BuildCraft|Silicon:redstoneChipset:2, Золотая микросхема
BuildCraft|Silicon:redstoneChipset:3, Алмазная микросхема
BuildCraft|Silicon:redstoneChipset:4, Пульсирующая микросхема
BuildCraft|Silicon:redstoneChipset:5, Кварцевая микросхема
BuildCraft|Silicon:redstoneChipset:6, Композитная микросхема
BuildCraft|Silicon:redstoneChipset:7, Изумрудная микросхема
BuildCraft|Silicon:package, Пакет
BuildCraft|Silicon:redstoneCrystal, Красный кристалл
appliedenergistics2:item.ToolCertusQuartzAxe, Топор из истинного кварца
appliedenergistics2:item.ToolCertusQuartzHoe, Мотыга из истинного кварца
appliedenergistics2:item.ToolCertusQuartzSpade, Лопата из истинного кварца
appliedenergistics2:item.ToolCertusQuartzPickaxe, Кирка из истинного кварца
appliedenergistics2:item.ToolCertusQuartzSword, Меч из истинного кварца
appliedenergistics2:item.ToolCertusQuartzWrench, Гаечный ключ из истинного кварца
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Нож из истинного кварца
appliedenergistics2:item.ToolNetherQuartzAxe, Топор из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzHoe, Мотыга из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzSpade, Лопата из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzPickaxe, Кирка из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzSword, Меч из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzWrench, Гаечный ключ из кварца Нижнего мира
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Нож из кварца Нижнего мира
appliedenergistics2:item.ToolEntropyManipulator, Манипулятор энтропии
appliedenergistics2:item.ToolWirelessTerminal, Беспроводной терминал
appliedenergistics2:item.ToolBiometricCard, Биометрическая карта
appliedenergistics2:item.ToolChargedStaff, Заряженный посох
appliedenergistics2:item.ToolMassCannon, Материальная пушка
appliedenergistics2:item.ToolMemoryCard, Карта памяти
appliedenergistics2:item.ToolNetworkTool, Сетевой инструмент
appliedenergistics2:item.ToolPortableCell, Переносная ячейка
appliedenergistics2:item.ItemCreativeStorageCell, Творческая МЭ ячейка хранения
appliedenergistics2:item.ItemViewCell, Ячейка представления
appliedenergistics2:item.ItemBasicStorageCell.1k, 1К МЭ ячейка хранения
appliedenergistics2:item.ItemBasicStorageCell.4k, 4К МЭ ячейка хранения
appliedenergistics2:item.ItemBasicStorageCell.16k, 16К МЭ ячейка хранения
appliedenergistics2:item.ItemBasicStorageCell.64k, 64К МЭ ячейка хранения
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ пространственная ячейка хранения
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ пространственная ячейка хранения
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ пространственная ячейка хранения
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Камень
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Земля
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Подзол
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Булыжник
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Дубовые доски
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Еловые доски
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Берёзовые доски
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Доски из тропического дерева
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Доски из акации
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Доски из тёмного дуба
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Бедрок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Песок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Красный песок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Гравий
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Золотая руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Железная руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Уголь
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Дуб
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Ель
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Берёза
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Тропическое дерево
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Губка
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Лазуритовая руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Блок лазурита
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Песчаник
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Резной песчаник
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Гладкий песчаник
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Оранжевая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Пурпурная шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Голубая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Желтая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Лаймовая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Розовая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Серая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Светло-серая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Бирюзовая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Фиолетовая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Синяя шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Коричневая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Зеленая шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Красная шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Черная шерсть
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Золотой блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Железный блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Динамит
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Книжная полка
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Замшелый булыжник
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Обсидиан
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Алмазная руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Алмазный блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Верстак
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Красная руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Адский камень
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Песок душ
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Светящийся камень
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Белое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Оранжевое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Пурпурное стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Голубое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Жёлтое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Лаймовое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Розовое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Серое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Светло-серое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Бирюзовое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Фиолетовое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Синее стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Коричневое стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Зелёное стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Красное стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Чёрное стекло
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Камень с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Булыжник с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Каменный кирпич с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Замшелый каменный кирпич с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Потрескавшийся каменный кирпич с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Резной каменный кирпич с монстрами
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Каменные кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Замшелые каменные кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Потресканные каменные кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Резные каменные кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Гриб
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Гриб
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Арбуз
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Адские кирпичи
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Эндерняк
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Лампа
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Изумрудная руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Изумрудный блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Блок красного камня
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Кварцевая руда
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Кварцевый блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Резной кварцевый блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Кварцевая колонна
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Белая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Оранжевая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Пурпурная обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Голубая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Жёлтая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Лаймовая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Розовая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Серая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Светло-серая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Бирюзовая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Фиолетовая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Синяя обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Коричневая обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Зелёная обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Красная обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Чёрная обожжённая глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Древесина акации
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Древесина тёмного дуба
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - tile.buildToolBlock.name
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Сноп сена
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Обожжёная глина
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Угольный блок
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Плотный лёд
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Блок истинного кварца
appliedenergistics2:item.ItemFacade:0, Кабельный фасад - Колонна истинного кварца
